company,url,description,industry,country,total_funding_m,all_people,all_investors,your_collections,team_tag,expert_collections,esp,company_status,company_id,organization_id,founded_year,competitors,subsidiaries,parent_company,continent,state,city,street,zip_code,latest_funding_round,latest_funding_date,latest_funding_amount_m,latest_funding_simplified_round,latest_funding_investors,market_cap_m,stock_price_dollars,latest_revenue_min_m,latest_revenue_max_m,revenue_time_period,stock_price_1_week_percent_change,latest_revenue_multiple_min,latest_revenue_multiple_max,sector,sub_industry,latest_exit_round,date_of_exit,acquirer,vc_backed
WISeKey,wisekey.com,"WISeKey is a global cybersecurity company headquartered in Geneva, Switzerland deploying large scale digital identity ecosystems with a patented process. WISeKey's Swiss-based cryptographic Root of Trust (""RoT"") provides secure authentication and identification in both physical and virtual environments for the Internet of Things, Blockchain and Artificial Intelligence.",Security Software,Switzerland,65.00,"Carlos Moreia (CEO), Peter Ward (CFO)","Garnero Group Acquisition, Nice & Green",,,"Blockchain, Artificial Intelligence, Cybersecurity",,IPO / Went public,95290,43514,,Tangem,,,Europe,,Geneva,route de Pré-Bois 29 PO Box 853,1215,Growth Equity - III,2013-09-09,10.00,Growth Equity,Undisclosed Investors,REDACTED,REDACTED,,,,REDACTED,,,Software (non-internet/mobile),,IPO,2016-03-31,"Public, Garnero Group Acquisition",No
MatterFi,matterfi.com,MatterFi is a blockchain technology company launching a DeFI digital asset management platform.,Asset & Financial Management & Trading Software,United States,9.78,"Tim Rocho (CEO), Michal Pospieszalski (CEO)",,,,Blockchain,,Alive / Active,676103,787200,2020,,,,North America,Wyoming,Sheridan,"30 N Gould St, Ste 400",82801,Unattributed - II,2021-09-08,8.83,Undisclosed,Undisclosed Investors,,,,,,,,,Software (non-internet/mobile),,,,,No
Marathon Digital Holdings,marathondh.com,"Marathon Digital Holdings is a digital asset technology company that mines cryptocurrencies, with a focus on the blockchain ecosystem and the generation of digital assets. It is based in Las Vegas, Nevada.",Internet Software & Services,United States,20.00,"Frederick Thiel (CEO), Simeon Salzman (CFO), Jim Crawford (COO)",Fidelity Investments,,,"Blockchain, Fintech",,Alive / Active,659275,768191,2013,,,,North America,Nevada,Las Vegas,1180 North Town Center Drive Suite 100,89144,Corporate Minority,2021-07-22,20.00,Corporate Minority,Fidelity Investments,,,,,,,,,Internet,Asset & Financial Management & Trading,,,,No
BetDex,betdex.com,"BetDEX is building a global platform for a decentralized sports betting exchange. By building on the Solana blockchain, BetDEX can deliver high speeds and low transaction costs while eliminating counterparty risk. In addition, BetDEX is a permissionless protocol allowing anyone to build their own applications on top.",Internet Software & Services,United States,21.00,"Nigel Eccles (Founder), Varun Sudhakar (CEO), Stuart Tonner (CTO)","Everblue Management, FTX, Hack VC, Lightspeed Venture Partners, Multicoin Capital, Paradigm, Sino Global Capital, Solana Ventures",,,Blockchain,,Alive / Active,692943,808249,2021,Blok Sports,,,North America,Delaware,Claymont,2093 Philadelphia Pike #1476,19703,Seed VC,2021-11-17,21.00,Seed VC,"Everblue Management, FTX, Hack VC, Lightspeed Venture Partners, Multicoin Capital, Paradigm, Sino Global Capital, Solana Ventures",,,,,,,,,Internet,Gambling,,,,Yes
HashPort,hashport.io,HashPort is a Japanese blockchain accelerator and consultancy.,Consulting & Outsourcing,Japan,7.68,,"Ceres, University of Tokyo Edge Capital, Yusaku Maezawa",,,Blockchain,,Alive / Active,616673,719388,2018,,Fressets,,Asia,,Tokyo,"Praseo Aoyama Building 3F 2-7-13 Kita Aoyama, Minato-ku",107-0061,Angel,2021-08-03,4.40,Angel,Yusaku Maezawa,,,,,,,,,Business Products & Services,Management & Strategy Consulting,,,,Yes
Cere Network,cere.network,Cere Network is a blockchain CRM ecosystem platform optimized for customer data integration and collaboration.,Internet Software & Services,United States,10.00,"Kenzi Wang (Founder), Fred Jin (CEO), Ian Duggan (CTO)","AU21, Arrington XRP Capital, Binance Labs, Fenbushi Capital, Kinetic Capital Partners, Monday Capital, NGC Ventures, QCP Capital, G1 Ventures, Gate.io, JRR Capital, LedgerPrime, Republic Labs, Woodstock Fund, ZB.com",,,Blockchain,,Alive / Active,396751,471726,2019,,,,North America,California,San Francisco,,94114,Series A,2021-03-29,5.00,Series A,"G1 Ventures, Gate.io, JRR Capital, LedgerPrime, Republic Labs, Woodstock Fund, ZB.com",,,,,,,,,Internet,Customer Relationship Management,,,,Yes
Jadu AR,jadu.ar,"Jadu is an augmented reality startup developing its world-scale AR metaverse, The Mirrorverse. The company offers Jadu Jetpacks and Jadu Hoverboard, NFTs on the Ethereum Blockchain that can be used by avatars in the metaverse. The company was founded in 2019 and is based in Culver City, California.",Mobile Software & Services,United States,44.16,"Asad Malik (CEO), Jake Sally (COO), Jack Gerrard (CTO)","Coinbase Ventures, General Catalyst, Guy Oseary, Keith Grossman, LionTree Partners, Metapurse, Nicholas Adler, Pacific Investment Management Co., Sound Ventures, The Venture Reality Fund, Bain Capital Crypto, Com2uS, Cozomo de’ Medici, LG Technology Ventures, Permit Ventures, WeMade Entertainment",,,"AR/VR, Blockchain",,Alive / Active,463687,550115,2019,,,,North America,California,Culver City,10100 Venice Blvd Suite 314,90232,Series A,2022-05-17,36.00,Series A,"Bain Capital Crypto, Com2uS, Cozomo de’ Medici, LG Technology Ventures, Permit Ventures, The Venture Reality Fund, WeMade Entertainment",,,,,,,,,Mobile & Telecommunications,Multimedia & Graphics,,,,Yes
Animoca Brands,animocabrands.com,"Animoca Brands develops and markets a portfolio of mobile games and apps for smartphones and tablets in Asia and Europe. It offers mobile games and apps orientated to educational learning, including e-books and a book app. The company also publishes a range of action, time management, role-playing, simulation, and other games, as well as serves as a global or regional publisher for games developed by third parties. Animoca Brands was founded in 2014 and is based in Hong Kong.",Mobile Software & Services,Hong Kong,751.50,"Yat Siu (Founder), Robby Yung (CEO), Mikhael Naayem (President), Evan Auyang (President), Rita Kong (CFO), Arnoldo Concepción (COO), Mitsuzuka Hideki (COO), Minh Do (COO)","Black Fire Minerals, IDG-Accel Capital, Intel Capital, Neoteny, Lympo, Sun Hung Kai & Co, Forgame Holdings, M7 Real Estate, Mind Fund, True Global Ventures, zVentures, Blue Pool Capital, Coinbase Ventures, Gobi Partners, Korea Investment Partners, Liberty City Ventures, Samsung Ventures, Scopely, Token Bay Capital, AppWorks Ventures, HashKey Capital, Huobi Ventures, Kingsway Capital Partners, RIT Capital Partners, Animoca Brands, Com2uS, Dragonfly Capital, Sequoia Capital China, Summer Capital, Ubisoft, 10T Fund, C Ventures, Delta Asia Financial Group, Gemini, JPMorgan Asia Pacific, L2 Capital Partners, Mirae Asset Venture Investment, Pacific Century Group, ParaFi Capital, Senator Investment Group, Smile Group, Soros Fund Management, Stable Asset Management, Wildcat Capital Management, Winklevoss Capital, Alpha Wave Global, Cosmic Summit Investment, Generation Highway, Springs Capital, Boyu Capital, GGV Capital, Temasek",,,"Blockchain, Gaming",,Alive / Active,227168,185548,2014,"HARTi, Minecraft","nWay, GAMEE, Gamma Innovations, Zeroth, TinyTap, TicBits, Leade.rs, Tribeflame, Fuel Powered, Stryking Entertainment, Eden Games, Lympo, Skytree, Darewise, Gamme, Lympo, FORJ, Blowfish Studios, The Sandbox, Prosper, Animoca Brands KK, Grease Monkey Games, BeMedia, Notre Game, WePlay Media",,Asia,,,"Unit 417-421, Cyberport 1 100 Cyberport Road",,Unattributed VC - VI,2022-09-09,93.00,Venture Capital,"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek, True Global Ventures",REDACTED,REDACTED,,,,REDACTED,,,Mobile & Telecommunications,Gaming,Take Private,2020-03-01,"Black Fire Minerals, Animoca Brands",Yes
Umee,umee.cc,"Umee is a cross chain DeFi hub that allows decentralized interactions between different blockchain networks. Umee allows users to move capital across chains, discover new yield opportunities, create cross chain leverage, and explore DeFi applications throughout the blockchain ecosystem.",Internet Software & Services,Cayman Islands,10.50,Brent Xu (CEO),"Alameda Research, Argonautic Ventures, BKCM, CMS Holdings, Coinbase Ventures, ConsenSys, IDEO CoLab, Ignite, Polychain Capital",,,Blockchain,,Alive / Active,643882,750988,2021,,,,North America,,George Town,"Whitehall House, 2nd Floor 238 North Church Street",KY1-1206,Convertible Note,2022-03-10,4.20,Convertible Note,Undisclosed Investors,,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
TADA,tada.global,"TADA is a blockchain-based ride-hailing app.On November 24th, 2021, Toss acquired a majority stake in TADA. The terms of the transaction were not disclosed.",Mobile Commerce,Singapore,27.89,,"Tribe Accelerator, CENTRAL, SIMWON, SV Investment, Samkee Automotive, Shinhan Financial Group, iloom, TRIVE, Toss",,,"Blockchain, Mobility-as-a-Service",,Acquired,380265,450016,2012,,,Toss,Asia,,Singapore,63 Ubi Road 1 01-48 Oxley Bizhub,408728,Series B,2021-04-09,15.00,Series B,"CENTRAL, TRIVE",,,,,,,,,Mobile & Telecommunications,Travel (mobile),Corporate Majority,2021-11-24,Toss,Yes
Hanhou Technology,hanhoukeji.com,"Hanhou Technology uses blockchain distributed technology and building block SaaS engine technology as its core to develop a Hanhou distributed operation system (Hanhou OS) for social e-commerce, real estate, tourism, automobiles, education, the beauty industry, local life, and more. The company was founded in 2018 and is based in Beijing, China.",Internet Software & Services,China,22.82,,,,,Blockchain,,Alive / Active,644441,751682,2018,,,,Asia,Beijing,Beijing,"Room 1906, Building 4, Times Fortune World, Fengtai District",,Series A - II,2022-09-08,7.19,Series A,Undisclosed Investors,,,,,,,,,Internet,Operating Systems & Utility,,,,No
Banger Games,bangergames.com,"Banger Games is developing the 1st blockchain-based gaming hub, establishing a new global gaming economy. All gamers will be able to find new ways of interacting with their peers through the Banger Games hub, connecting publishers and gamers. Features for businesses and developers, like a blockchain integration SDK and crypto-enabled monetization methods, will join gamer-centric must-haves such as achievements, automated SMART tournaments, and anti-cheat clients.",Internet Software & Services,Spain,11.11,"Borja Villalobos (CEO), Miguel Escribano (COO), Nicolas Keller (Chief Product Officer)","Avalanche, Belobaba Fund, Bigcoin Capital, CSP DAO, Flori Ventures, G20 Ventures, GSR Ventures, Halvings Capital, Jaynti Kanani, LucidBlue Ventures, OIG CAPITAL, Poolz Ventures, Shima Capital, Squares Capital",,,Blockchain,,Alive / Active,716156,836396,2019,,,,Europe,,Madrid,"Paseo francisco de sales, 41",28002,Seed VC,2022-02-16,11.11,Seed VC,"Avalanche, Belobaba Fund, Bigcoin Capital, CSP DAO, Flori Ventures, G20 Ventures, GSR Ventures, Halvings Capital, Jaynti Kanani, LucidBlue Ventures, OIG CAPITAL, Poolz Ventures, Shima Capital, Squares Capital",,,,,,,,,Internet,Gaming,,,,Yes
Arweave,arweave.org,"Arwaeave is a data storage protocol on a blockchain-like structure called the blockweave. It's built on a consensus mechanism that makes permanent, low-cost data storage available.",Internet Software & Services,United Kingdom,13.42,"William Jones (Founder), Sam Williams (CEO), Kevin Leuthardt (CFO), Sebastian Campos Groth (COO)","Techstars, Andreessen Horowitz, Multicoin Capital, Union Square Ventures, Coinbase Ventures",,,Blockchain,,Alive / Active,331295,44514,2017,"Akash, Filecoin, Pinata, Skynet, Storj Labs",,,Europe,England,London,International House 24 Holborn Viaduct,EC1A 2BN,Series A,2020-03-05,8.30,Series A,"Andreessen Horowitz, Coinbase Ventures, Union Square Ventures",,,,,,,,,Internet,Data Storage,,,,Yes
Aleo,aleo.org,"Aleo is a developer platform for building fully private, scalable and cost-effective applications. Using zero-knowledge cryptography, Aleo moves smart contract execution off-chain to enable a diverse range of decentralized applications that are both entirely private and can scale to thousands of transactions per second. Built on an open, public blockchain, Aleo brings the flexibility of Ethereum but with a more scalable architecture in which miners don’t need to re-run every transaction, but simply verify their correctness.",Mobile Software & Services,United States,228.00,"Howard Wu (Founder), Raymond Chu (Founder), Collin Chin (Founder), Michael Beller (CFO), Alex Pruden (COO)","A.Capital, Andreessen Horowitz, Balaji Srinivasan, Coinbase Ventures, Dekrypt, Ethereal Ventures, Galaxy Digital, Placeholder Capital, Polychain Capital, Scalar Capital, Slow Ventures, Variant Fund, Zero Knowledge Validator, Kora Management, Samsung NEXT, Sea Capital, SoftBank Group, Tiger Global Management",,,"Unicorns- Billion Dollar Startups, Blockchain, Cybersecurity",,Alive / Active,578875,677063,2019,,,,North America,Nevada,Reno,300 E. Second Street,89501,Series B,2022-02-07,200.00,Series B,"Andreessen Horowitz, Kora Management, Samsung NEXT, Sea Capital, Slow Ventures, SoftBank Group, Tiger Global Management",,,,,,,,,Mobile & Telecommunications,Application Development,,,,Yes
InstaDApp,instadapp.io,InstaDApp offers an autonomous banking portal on emerging blockchain based financial protocols.,Internet Software & Services,India,12.40,"Sowmay Jain (CEO), Samyak Jain (CTO)","Balaji Srinivasan, Coinbase Ventures, IDEO CoLab, Loi Luu, Naval Ravikant, Pantera Capital, Robot Ventures, Alliance DAO, Andre Cronje, LongHash Ventures, Standard Crypto",,,"Blockchain, Fintech",,Alive / Active,410213,490120,2018,,,,Asia,,Hyderabad,"202, Paradise, PG Road",500003,Series A,2021-06-11,10.00,Series A,"Alliance DAO, Andre Cronje, LongHash Ventures, Standard Crypto",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Bootes,bootes-global.com,Bootes operates as a blockchain exchange available on a mobile app.,Mobile Software & Services,Canada,8.00,"David Metthew (Founder), Louis Baker (CEO), Merle Dafne (COO), Jonathan Rios (CTO)","GE Capital, KMMT Capital",,,Blockchain,,Alive / Active,698154,815017,,,,,North America,Ontario,Toronto,,,Seed VC,2021-12-18,8.00,Seed VC,"GE Capital, KMMT Capital",,,,,,,,,Mobile & Telecommunications,Asset & Financial Management & Trading,,,,Yes
Tangany,tangany.com,"Tangany provides a blockchain API infrastructure that helps companies build their blockchain application in a highly secure and compliant way. It was founded in 2018 and is based in Munich, Germany.",Application & Data Integration Software,Germany,7.58,"Martin Kreitmair (CEO), Heinrich Polke (COO), Alexey Utin (CTO)","Alex Suarez, High-Tech Grunderfonds, Philipp Treuner, Stefan Schindler, Creator Collective Capital, Nauta Capital",,,Blockchain,,Alive / Active,436753,523571,2018,"Finoa, Fireblocks, Solaris Digital Assets",,,Europe,,Munich,Agnes-Pockels-Bogen 1,80992,Seed VC - II,2022-04-20,7.58,Seed VC,"Creator Collective Capital, High-Tech Grunderfonds, Nauta Capital",,,,,,,,,Software (non-internet/mobile),,,,,Yes
X Infinity,xinfinity.io,X Infinity is a Singapore based FinTech company that focuses on the development of cryptocurrency wallet. This wallet allows consumers and merchants the ability to transact as easily using any blockchain asset as a currency.,Mobile Software & Services,Singapore,20.50,Yee Sian Ang (CTO),,,,"Blockchain, Fintech",,Alive / Active,339434,403143,2016,,,,Asia,,,,,Seed,2018-08-22,20.50,Seed,Undisclosed Angel Investors,,,,,,,,,Mobile & Telecommunications,Asset & Financial Management & Trading,,,,No
Cryptoslam,cryptoslam.io,"CryptoSlam is an aggregator of NFT collectible data from Ethereum, WAX, and FLOW blockchains.",Internet Software & Services,United States,9.00,"Randy Wasinger (CEO), Ryan Wasinger (COO), Todd Benge (CTO), Clay Coffman (Chief Product Officer)","Aloomii, GeoAds, Radical Investments, Sound Ventures, Troon Technologies, Alexandra Wilkis Wilson, Animoca Brands, Binance, Chris Wang, Dennis Fong, Forte Labs, Greg Tseng, Holly Liu, James Park, KCRise Fund, Kun Gao, Mark Cuban, Mark Pincus, Nigel Eccles, OKX Blockdream Ventures, PKO Investments, Patrick Lee, Polygon, Randall Kaplan, Red Beard Ventures, Reid Hoffman, Sebastien Borget, Stephen Wang, StockTwits, Twenty5Twenty",,,Blockchain,,Alive / Active,626232,730855,2018,,,,North America,Kansas,Shawnee Mission,11300 W 175th Street,66221,Seed VC,2022-01-05,9.00,Seed VC,"Alexandra Wilkis Wilson, Animoca Brands, Binance, Chris Wang, Dennis Fong, Forte Labs, Greg Tseng, Holly Liu, James Park, KCRise Fund, Kun Gao, Mark Cuban, Mark Pincus, Nigel Eccles, OKX Blockdream Ventures, PKO Investments, Patrick Lee, Polygon, Randall Kaplan, Red Beard Ventures, Reid Hoffman, Sebastien Borget, Sound Ventures, Stephen Wang, StockTwits, Twenty5Twenty",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Swing,swing.xyz,Swing is a blockchain firm that enables cross-chain liquidity and liquidity aggregation across blockchains.,Internet Software & Services,United States,6.00,Viveik V. (CEO),"Bitcoin.com, Celer Network, Morningstar Ventures, Republic",,,Blockchain,,Alive / Active,710931,829922,2020,,,,North America,California,San Francisco,,,Series A,2022-01-28,6.00,Series A,"Bitcoin.com, Celer Network, Morningstar Ventures, Republic, Undisclosed Investors",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Theta Labs,thetatoken.org,Theta Labs specializes in video streaming powered by users and the blockchain.,Internet Software & Services,United States,8.26,"Riz Virk (Founder), Jieyi Long (Founder), Ryan Nichols (Chief Product Officer)","Advancit Capital, Bertelsmann Digital Media Investments, CAA Ventures, Colopl Next, DCM Ventures, Danhua Capital, GREE, Green Pine Capital Partners, Greycroft, Heuristic Capital Partners, Samsung NEXT, Sierra Ventures, Sony Innovation Fund, Sparkland Ventures, The Venture Reality Fund, ZP Capital, gumi Cryptos, Blockchain.com, Igen Fusion Capital, UpHonest Capital, Wei Fund",,,Blockchain,,Alive / Active,309065,117106,2017,"Flixxo, Livepeer",,,North America,California,Cupertino,2910 Stevens Creek Boulevard Suite 200,95128,Series A - II,2021-01-12,,Series A,Samsung NEXT,,,,,,,,,Internet,Video,,,,Yes
SLife,,"SLife is a decentralized offline business transaction system dedicated to linking global offline consumer commercial spaces and consumers, reconstructing commercial consumer relationships, and building blockchain-based technology and economic model innovations.",E-Commerce,China,15.00,Zhicheng Xu (Founder),"Canaan, CollinStar Holdings, Funcity Capital, Timestamp Capital, Wanxiang Blockchain",,,Blockchain,,Alive / Active,331126,17667,,,,,Asia,Zhejiang ,Hangzhou,,,Seed VC,2018-06-19,15.00,Seed VC,"Canaan, CollinStar Holdings, Funcity Capital, Timestamp Capital, Wanxiang Blockchain",,,,,,,,,Internet,Marketplace,,,,Yes
Azra Games,azragames.com,"Azra Games provides its users with blockchain games. It is the developer of PROJECT ARCANAS, a collectibles & combat RPG set in a new sci-fi/fantasy universe. It was founded in 2022 and is based in Sacramento, California.",Internet Software & Services,United States,15.00,"Myong-Sik Otero (CEO), David Scurfield (CFO), Sonny Mayugba (COO), Travis Boudreaux (CTO)","Andreessen Horowitz, Coinbase Ventures, Franklin Templeton, Gabby Dizon, Justin Kan, NFX, Play Ventures, Roham Gharegozlou",,,Blockchain,,Alive / Active,752873,877073,2022,,,,North America,California,Sacramento,106 K Street Suite 300,95814,Seed VC,2022-05-19,15.00,Seed VC,"Andreessen Horowitz, Coinbase Ventures, Franklin Templeton, Gabby Dizon, Justin Kan, NFX, Play Ventures, Roham Gharegozlou",,,,,,,,,Internet,Gaming,,,,Yes
Colizeum,colizeum.com,Colizeum develops a blockchain play-to-earn ecosystem for both players and developers.,Mobile Software & Services,Switzerland,8.40,"Edgars Vecozolins (Founder), Davis Ziedins (Founder), Kaspars Kukelis (CEO), Arnis Lielturks (CTO)","AU21, Axia8 Ventures, Basics Capital, CRT Capital, Deribit, Genblock, Good Games Guild, LD Capital, Momentum 6, Pluto Digital Assets, Redline DAO, SevenX Ventures, TPS Capital, Tokenomik.io, X21",,,Blockchain,,Alive / Active,716225,836472,2021,,,,Europe,,Baar,Muhlegasse 18,6340,Series A,2022-01-26,8.40,Series A,"AU21, Axia8 Ventures, Basics Capital, CRT Capital, Deribit, Genblock, Good Games Guild, LD Capital, Momentum 6, Pluto Digital Assets, Redline DAO, SevenX Ventures, TPS Capital, Tokenomik.io, X21",,,,,,,,,Mobile & Telecommunications,Gaming,,,,Yes
Alchemy,alchemy.com,"Alchemy develops a platform that assists businesses to build scalable and decentralized applications. It caters to the IT industries in blockchain, wallet, data analytics, and Decentralized Autonomous Organizations (DAO). The company was founded in 2017 and is based in San Francisco, California.",Internet Software & Services,United States,545.00,"Nikil Viswanathan (CEO), Joseph Lau (CTO)","Google for Startups Accelerator, Charles Schwab, Coinbase Ventures, Dreamers Fund, Jerry Yang, John Hennessy, Kenetic Capital, Mayfield, Pantera Capital, Reid Hoffman, Samsung Ventures, SignalFire, Stanford University, StartX, Tom Glocer, Addition, Chainsmokers, Coatue Management, DFJ Growth Fund, Glazer Family, Jared Leto, K5 Global Technology, Manchester United, Andreessen Horowitz, Lightspeed Venture Partners, Redpoint Ventures, Silver Lake",,,"Unicorns- Billion Dollar Startups, Blockchain, Fintech 250, Fintech, Blockchain 50",,Alive / Active,346979,405623,2017,"Blocknative, ConsenSys, Infura, Lambda 256, Morpheus Labs, QuikNode, SettleMint, SIMBA Chain, Stratx Consulting",ChainShot,,North America,California,San Francisco,542 Brannan Street,94107,Series D,2022-02-08,200.00,Series D,"Addition, Andreessen Horowitz, Coatue Management, DFJ Growth Fund, Lightspeed Venture Partners, Pantera Capital, Silver Lake",,,,,,,,,Internet,Web Development,,,,Yes
Biconomy,biconomy.io,Biconomy develops a digital platform that aims to empower blockchain developers to enable a simplified transaction and onboarding experience for Web3 projects.,Internet Software & Services,India,10.50,"Ahmed Al-Balaghi (Founder), Sachin Tomar (Founder), Aniket Jindal (COO)","Binance, DACM, Eden Block, Fenbushi Capital, James Simpson, MIH Ventures, Marwan Alzarouni, Meher Roy, Outlier Ventures, Woodstock Fund, Zee Prime Capital, Bain Capital, Coinbase Ventures, Genblock, Huobi Ventures, LedgerPrime, Mechanism Capital, NFX, Primitive Ventures, Proof Group, Rarestone Capital, True Ventures",,,Blockchain,,Alive / Active,601606,702549,2019,Portto,,,Asia,,Gurugram,,,Series A,2021-07-28,9.00,Series A,"Bain Capital, Coinbase Ventures, DACM, Eden Block, Genblock, Huobi Ventures, LedgerPrime, Mechanism Capital, NFX, Primitive Ventures, Proof Group, Rarestone Capital, True Ventures, Undisclosed Investors, Zee Prime Capital",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Lootex,lootex.io,"Lootex provides a zero-fraud, transparent, and safe trading platform built on the Ethereum blockchain.",Internet Software & Services,Taiwan,9.00,"Yu-Lei Lu (Founder), David Tseng (Founder), Justine Lu (CEO)","Akatsuki, Avocado Guild, Cherubic Ventures, Daedalus, Evernew Capital, HTC, Holly Liu, Huobi Ventures, Infinity Ventures Crypto, KOSMOS CAPITAL, Kevin Lin, Kun Gao, LD Capital, Morningstar Ventures, NGC Ventures, OKEx, PANONY, Palm Drive Capital, Patrick Lee, Petrock Capital, Polygon Studios, Spartan Capital, SweeperDAO, Yolo Investments, 500 Global",,,Blockchain,,Alive / Active,702318,820106,2018,gamefi,,,Asia,,Taipei City,"3F, No. 102, Section 1, Bade Rd, Zhongzheng District",,Series A - II,2022-04-07,,Series A,500 Global,,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Pinata,pinata.cloud,"Pinata operates an NFT-focused media distribution platform. It provides media infrastructure and support for NFT marketplaces, metaverses, web3 apps, and other crypto projects. It allows users to manage, share and monetize their media on any blockchain like Ethereum, Solana, Polygon, Avalanche, and Algorand. The firm was founded in 2018 and is based in Omaha, Nebraska.",Internet Software & Services,United States,21.65,"Kyle Tut (CEO), Matt Ober (CTO)","Invest Nebraska, Atelier Ventures, Greylock Partners, Offline Ventures, Alchemy Capital, OpenSea, Pantera Capital, Volt Capital",,,Blockchain,,Alive / Active,428795,516020,2018,"Arweave, Infura",,,North America,Nebraska,Omaha,808 Conagra Drive Suite 400,68102,Series A,2022-08-09,18.00,Series A,"Alchemy Capital, Greylock Partners, OpenSea, Pantera Capital, Volt Capital",,,,,,,,,Internet,Content Management,,,,Yes
QEDIT,qed-it.com,"QEDIT provides an enterprise solution for preserving privacy on the Blockchain. Using QEDIT, users can transfer ownership of Blockchain assets without revealing the confidential transaction details while still ensuring regulatory compliance according to custom-defined business rules.",Internet Software & Services,Israel,10.00,"Ruben Arnold (Founder), Jonathan Rouach (CEO)","Plug and Play Accelerator, Ant Group, Collider Ventures, Jovono, Meron Capital, MizMaa Ventures, RGAx, Target Global",,,"Blockchain, Cybersecurity, Blockchain 50",,Alive / Active,358956,421404,2015,Sedicii,,,Asia,,Tel Aviv,Rothschild 45 Yafo,,Series A,2019-05-07,10.00,Series A,"Ant Group, Collider Ventures, Jovono, Meron Capital, MizMaa Ventures, RGAx, Target Global",,,,,,,,,Internet,Monitoring & Security,,,,Yes
Uplandme,upland.me,"Uplandme makes Upland, a blockchain technology-based digital property trading game that blurs the boundaries between real and virtual worlds. Players buy, sell, and trade properties based on real-world addresses. An in-game currency called UPX powers the economy of Upland. Players are able to complete property collections, use location-based features, and trade properties on a marketplace.",Internet Software & Services,United States,22.00,"Mani Honigstein (Founder), Idan Zuckerman (CEO), Dirk Lueth (CEO)","FinLab EOS VC, Jan Sprengnetter, Kai Bolik, Markus Ogurek, Alumni Ventures, Animoca Brands, Block.one, C3 Management, Com2uS, Global Founders Capital, Korea Investment Partners, Michael Ronen, Michael Terpin, Mike Vorhaus, OneTeam Partners, G5 Entertainment",,,Blockchain,,Alive / Active,393556,467451,2018,,,,North America,California,Mountain View,888 Villa Street,94041,Corporate Minority,2021-12-22,2.00,Corporate Minority,G5 Entertainment,,,,,,,,,Internet,Gambling,,,,Yes
The Graph,thegraph.com,The Graph is a protocol for building decentralized applications quickly on Ethereum and IPFS using GraphQL.,Internet Software & Services,United States,212.97,,"CoinFund, Compound, DTC, Kilowatt Capital, Multicoin Capital, Reciprocal Ventures, South Park Commons, CoinIX, Coinbase Ventures, DTC Capital, Digital Currency Group, Fabric Ventures, Framework Ventures, ParaFi Capital, Tally Capital, HashKey Capital, gumi Cryptos",,,Blockchain,,Alive / Active,72172,97722,2018,"PARSIQ, SubQuery",The Graph Foundation,,North America,California,San Francisco,44 Tehama St,94105,Seed VC - III,2022-02-17,205.00,Seed VC,"Digital Currency Group, HashKey Capital, Multicoin Capital, Reciprocal Ventures, gumi Cryptos",,,,,,,,,Internet,Web Development,,,,Yes
Dltledgers,dlt.sg,Dltledgers offers a blockchain-based solution for traders to interact with suppliers and banks directly.,Internet Software & Services,Singapore,9.50,"Farooq Siddiqi (CEO), Vishal Gala (CFO), Shine Xavier (CTO), Sanjeev Chatrath (Chief Revenue Officer)","Walden International, Regis & Savoy Capital, Vittal Investments",,,"Blockchain, Fintech, Blockchain 50",,Alive / Active,397969,473387,2017,,,,Asia,,,"Block 81 Ayer Rajah Crescent, #01-65, JTC LaunchPad@One-North",139955,Series A,2021-03-25,7.00,Series A,"Regis & Savoy Capital, Undisclosed Angel Investors, Vittal Investments, Walden International",,,,,,,,,Internet,Supply Chain & Logistics,,,,Yes
